venue,innings,batting_team,bowling_team,striker,bowler,total_runs
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"['KS Williamson', 'MK Pandey', 'S Dhawan', 'WP Saha']","['AD Russell', 'SP Narine', 'MG Johnson', 'PP Chawla']",41
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['DJM Short', 'AM Rahane']","['CR Woakes', 'Washington Sundar', 'UT Yadav', 'YS Chahal']",47
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['Q de Kock', 'V Kohli', 'BB McCullum']","['JD Unadkat', 'DS Kulkarni', 'K Gowtham', 'BA Stokes']",62
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Chennai Super Kings,"['CH Gayle', 'KL Rahul']","['Harbhajan Singh', 'SN Thakur', 'DL Chahar']",75
Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Kings XI Punjab,"['SR Watson', 'M Vijay', 'SW Billings', 'AT Rayudu']","['MM Sharma', 'Mujeeb Ur Rahman', 'AJ Tye', 'BB Sran']",51
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['TA Boult', 'CH Morris', 'S Nadeem']",50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"['JJ Roy', 'GJ Maxwell', 'G Gambhir', 'RR Pant', 'SS Iyer']","['AD Russell', 'Shivam Mavi', 'SP Narine', 'PP Chawla']",51
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['E Lewis', 'SA Yadav', 'RG Sharma', 'Ishan Kishan']","['Mohammed Siraj', 'CR Woakes', 'Washington Sundar', 'UT Yadav']",58
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['Q de Kock', 'V Kohli', 'Mandeep Singh', 'AB de Villiers']","['JJ Bumrah', 'KH Pandya', 'Mustafizur Rahman', 'MJ McClenaghan']",51
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['DJM Short', 'AM Rahane']","['Shivam Mavi', 'Kuldeep Yadav', 'SP Narine', 'PP Chawla']",48
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['JD Unadkat', 'B Laughlin', 'DS Kulkarni', 'K Gowtham']",53
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,"['CH Gayle', 'KL Rahul']","['Rashid Khan', 'S Kaul', 'B Kumar', 'CJ Jordan']",49
Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,"['MK Pandey', 'S Dhawan', 'WP Saha', 'KS Williamson', 'YK Pathan']","['MM Sharma', 'AJ Tye', 'BB Sran']",40
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,"['SR Watson', 'SK Raina', 'AT Rayudu']","['JD Unadkat', 'K Gowtham', 'B Laughlin', 'BA Stokes', 'STR Binny']",65
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,"['SV Samson', 'JC Buttler', 'BA Stokes', 'AM Rahane', 'H Klaasen']","['SR Watson', 'SN Thakur', 'DL Chahar']",25
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['Mujeeb Ur Rahman', 'AS Rajpoot', 'AJ Tye', 'BB Sran']",48
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"['CH Gayle', 'KL Rahul']","['PP Chawla', 'AD Russell', 'SP Narine', 'N Rana', 'Shivam Mavi']",67
M.Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"['JJ Roy', 'G Gambhir', 'RR Pant', 'SS Iyer']","['CR Woakes', 'UT Yadav', 'YS Chahal']",28
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"['V Kohli', 'Q de Kock', 'M Vohra', 'AB de Villiers']","['TA Boult', 'CH Morris', 'GJ Maxwell', 'S Nadeem']",43
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SR Watson', 'SK Raina']","['S Kaul', 'B Kumar', 'B Stanlake', 'Shakib Al Hasan']",27
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"['MK Pandey', 'RK Bhui', 'DJ Hooda', 'Shakib Al Hasan', 'KS Williamson']","['SR Watson', 'SN Thakur', 'DL Chahar']",36
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"['E Lewis', 'SA Yadav', 'Ishan Kishan']","['JD Unadkat', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",43
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"['RA Tripathi', 'SV Samson', 'BA Stokes', 'AM Rahane']","['JJ Bumrah', 'KH Pandya', 'Mustafizur Rahman', 'MJ McClenaghan']",42
Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Daredevils,"['AJ Finch', 'MA Agarwal', 'KK Nair', 'KL Rahul']","['TA Boult', 'Avesh Khan', 'LE Plunkett']",51
Arun Jaitley Stadium,2,Delhi Daredevils,Kings XI Punjab,"['PP Shaw', 'GJ Maxwell', 'G Gambhir', 'RR Pant', 'SS Iyer']","['AS Rajpoot', 'AJ Tye', 'BB Sran']",47
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"['MK Pandey', 'Shakib Al Hasan', 'S Dhawan', 'WP Saha', 'KS Williamson', 'YK Pathan']","['HH Pandya', 'JJ Bumrah', 'MJ McClenaghan']",50
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"['KH Pandya', 'Ishan Kishan', 'E Lewis', 'SA Yadav', 'RG Sharma']","['Mohammad Nabi', 'Shakib Al Hasan', 'Sandeep Sharma']",22
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'Q de Kock', 'AB de Villiers']","['Harbhajan Singh', 'SN Thakur', 'DL Chahar']",52
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['SR Watson', 'SK Raina', 'AT Rayudu', 'SW Billings']","['Mohammed Siraj', 'P Negi', 'UT Yadav', 'Washington Sundar']",51
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"['MK Pandey', 'Shakib Al Hasan', 'S Dhawan', 'WP Saha', 'KS Williamson']","['AS Rajpoot', 'BB Sran']",37
Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"['CH Gayle', 'KL Rahul']","['Mohammad Nabi', 'S Kaul', 'Sandeep Sharma']",44
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,"['PP Shaw', 'C Munro']","['PP Chawla', 'Kuldeep Yadav', 'SP Narine', 'MG Johnson', 'Shivam Mavi']",57
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,"['KD Karthik', 'CA Lynn', 'RV Uthappa', 'SP Narine', 'N Rana', 'Shubman Gill']","['TA Boult', 'GJ Maxwell', 'Avesh Khan', 'LE Plunkett']",51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,"['SR Watson', 'SK Raina', 'AT Rayudu']","['HH Pandya', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",51
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,"['E Lewis', 'SA Yadav']","['Harbhajan Singh', 'SR Watson', 'SN Thakur', 'DL Chahar']",46
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"['KS Williamson', 'S Dhawan', 'AD Hales']","['JD Unadkat', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",39
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"['RA Tripathi', 'SV Samson', 'AM Rahane']","['S Kaul', 'Shakib Al Hasan', 'Basil Thampi', 'Sandeep Sharma']",43
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"['BB McCullum', 'Q de Kock']","['Shivam Mavi', 'SP Narine', 'MG Johnson', 'PP Chawla']",34
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"['SP Narine', 'CA Lynn']","['TG Southee', 'UT Yadav', 'YS Chahal']",50
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,"['F du Plessis', 'SR Watson']","['TA Boult', 'R Tewatia', 'Avesh Khan', 'LE Plunkett']",56
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,"['PP Shaw', 'RR Pant', 'C Munro', 'SS Iyer']","['KM Asif', 'SR Watson', 'L Ngidi']",58
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['Q de Kock', 'M Vohra']","['JP Duminy', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",43
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['KA Pollard', 'Ishan Kishan', 'JP Duminy', 'SA Yadav', 'RG Sharma']","['Mohammed Siraj', 'TG Southee', 'UT Yadav']",36
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,"['PP Shaw', 'C Munro', 'SS Iyer']","['JD Unadkat', 'K Gowtham', 'JC Archer', 'S Gopal', 'DS Kulkarni']",62
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,"['DJM Short', 'JC Buttler']","['A Mishra', 'Avesh Khan', 'TA Boult', 'S Nadeem', 'LE Plunkett']",79
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"['F du Plessis', 'SR Watson', 'SK Raina']","['Shivam Mavi', 'SP Narine', 'MG Johnson', 'PP Chawla']",57
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"['RV Uthappa', 'SP Narine', 'Shubman Gill', 'CA Lynn']","['KM Asif', 'SR Watson', 'L Ngidi']",52
Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,"['CH Gayle', 'KL Rahul']","['HH Pandya', 'JJ Bumrah', 'MJ McClenaghan']",45
Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,"['E Lewis', 'SA Yadav', 'Ishan Kishan']","['Mujeeb Ur Rahman', 'AS Rajpoot', 'AJ Tye', 'R Ashwin']",39
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['PA Patel', 'BB McCullum', 'V Kohli']","['SN Thakur', 'DJ Willey', 'L Ngidi']",47
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['SR Watson', 'SK Raina', 'AT Rayudu']","['TG Southee', 'UT Yadav', 'YS Chahal']",42
Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"['PP Shaw', 'GJ Maxwell', 'SS Iyer']","['S Kaul', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",59
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"['S Dhawan', 'AD Hales']","['TA Boult', 'GJ Maxwell', 'Avesh Khan', 'LE Plunkett']",54
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"['E Lewis', 'SA Yadav']","['M Prasidh Krishna', 'PP Chawla', 'SP Narine', 'MG Johnson', 'N Rana']",56
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'Shubman Gill', 'CA Lynn', 'N Rana']","['HH Pandya', 'JJ Bumrah', 'MJ McClenaghan']",47
Holkar Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,"['SV Samson', 'DJM Short', 'AM Rahane', 'JC Buttler']","['AR Patel', 'Mujeeb Ur Rahman', 'AS Rajpoot', 'R Ashwin']",45
Holkar Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,"['CH Gayle', 'MA Agarwal', 'KK Nair', 'KL Rahul']","['JD Unadkat', 'BA Stokes', 'K Gowtham', 'JC Archer']",34
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"['KS Williamson', 'S Dhawan', 'AD Hales']","['UT Yadav', 'Mohammed Siraj', 'TG Southee', 'MM Ali']",33
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"['PA Patel', 'V Kohli', 'M Vohra']","['S Kaul', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"['K Gowtham', 'AM Rahane', 'JC Buttler']","['MM Sharma', 'AR Patel', 'MP Stoinis', 'AJ Tye']",57
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,"['AD Nath', 'R Ashwin', 'CH Gayle', 'KK Nair', 'KL Rahul']","['JD Unadkat', 'BA Stokes', 'K Gowtham', 'JC Archer']",33
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"['E Lewis', 'SA Yadav', 'RG Sharma']","['TK Curran', 'M Prasidh Krishna', 'PP Chawla', 'AD Russell', 'SP Narine']",47
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'SP Narine', 'CA Lynn', 'N Rana']","['HH Pandya', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",47
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"['PP Shaw', 'JJ Roy', 'RR Pant', 'SS Iyer']","['S Kaul', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",38
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"['KS Williamson', 'S Dhawan', 'AD Hales']","['TA Boult', 'LE Plunkett', 'S Nadeem', 'HV Patel']",51
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"['SR Watson', 'SK Raina', 'AT Rayudu']","['JD Unadkat', 'K Gowtham', 'JC Archer', 'BA Stokes', 'Ankit Sharma']",54
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"['SV Samson', 'BA Stokes', 'AM Rahane', 'JC Buttler']","['RA Jadeja', 'SN Thakur', 'DJ Willey', 'Harbhajan Singh']",57
Holkar Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['Mujeeb Ur Rahman', 'BB Sran', 'R Ashwin', 'MM Sharma', 'AJ Tye']",59
Holkar Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['AD Russell', 'SP Narine', 'JPR Scantlebury-Searles', 'M Prasidh Krishna']",57
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"['PP Shaw', 'JJ Roy', 'RR Pant', 'SS Iyer']","['TG Southee', 'UT Yadav', 'YS Chahal']",44
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"['PA Patel', 'V Kohli', 'MM Ali', 'AB de Villiers']","['TA Boult', 'CJ Dala', 'S Lamichhane', 'HV Patel']",56
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"['KS Williamson', 'S Dhawan', 'AD Hales']","['DJ Willey', 'SN Thakur', 'DL Chahar']",28
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"['SR Watson', 'AT Rayudu']","['Rashid Khan', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",53
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"['E Lewis', 'SA Yadav']","['BA Stokes', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",47
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"['DJM Short', 'AM Rahane', 'JC Buttler']","['HH Pandya', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",46
Holkar Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"['MP Stoinis', 'CH Gayle', 'AJ Finch', 'KK Nair', 'KL Rahul']","['Mohammed Siraj', 'TG Southee', 'UT Yadav']",47
Holkar Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"['PA Patel', 'V Kohli']","['MM Sharma', 'AS Rajpoot', 'AJ Tye', 'R Ashwin']",66
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"['RA Tripathi', 'AM Rahane', 'JC Buttler']","['AD Russell', 'Shivam Mavi', 'SP Narine', 'M Prasidh Krishna']",64
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"['RV Uthappa', 'SP Narine', 'CA Lynn', 'N Rana']","['JC Archer', 'K Gowtham', 'BA Stokes']",50
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"['KH Pandya', 'Ishan Kishan', 'E Lewis', 'SA Yadav', 'RG Sharma']","['MM Sharma', 'AS Rajpoot', 'AJ Tye']",60
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"['AJ Finch', 'CH Gayle', 'KL Rahul']","['HH Pandya', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"['PA Patel', 'V Kohli', 'MM Ali', 'AB de Villiers']","['Rashid Khan', 'S Kaul', 'Shakib Al Hasan', 'Sandeep Sharma']",44
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"['KS Williamson', 'S Dhawan', 'AD Hales']","['Mohammed Siraj', 'TG Southee', 'UT Yadav', 'YS Chahal']",56
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,"['PP Shaw', 'RR Pant', 'SS Iyer']","['RA Jadeja', 'SN Thakur', 'L Ngidi', 'DL Chahar']",38
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,"['SR Watson', 'AT Rayudu']","['TA Boult', 'S Lamichhane', 'Avesh Khan', 'HV Patel']",44
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['RA Tripathi', 'JC Archer', 'AM Rahane']","['TG Southee', 'MM Ali', 'UT Yadav', 'YS Chahal']",45
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['PA Patel', 'V Kohli', 'AB de Villiers']","['JD Unadkat', 'B Laughlin', 'K Gowtham', 'JC Archer']",55
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"['S Dhawan', 'SP Goswami']","['M Prasidh Krishna', 'PP Chawla', 'AD Russell', 'SP Narine', 'N Rana']",51
Rajiv Gandhi International Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['S Kaul', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",58
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,"['PP Shaw', 'GJ Maxwell', 'RR Pant', 'SS Iyer']","['HH Pandya', 'JJ Bumrah', 'KH Pandya', 'Mustafizur Rahman']",45
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,"['E Lewis', 'SA Yadav', 'Ishan Kishan']","['TA Boult', 'HV Patel', 'GJ Maxwell', 'S Lamichhane', 'LE Plunkett']",55
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,"['CH Gayle', 'AJ Finch', 'MK Tiwary', 'DA Miller', 'KL Rahul']","['L Ngidi', 'DL Chahar']",29
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,"['F du Plessis', 'SW Billings', 'SK Raina', 'AT Rayudu', 'Harbhajan Singh']","['MM Sharma', 'AS Rajpoot', 'AJ Tye']",33
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"['MK Pandey', 'SP Goswami', 'Shakib Al Hasan', 'S Dhawan', 'KS Williamson']","['SN Thakur', 'L Ngidi', 'DL Chahar']",47
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SR Watson', 'SK Raina', 'AT Rayudu', 'MS Dhoni']","['S Kaul', 'B Kumar', 'Sandeep Sharma']",32
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"['KD Karthik', 'CA Lynn', 'RV Uthappa', 'SP Narine', 'N Rana']","['JD Unadkat', 'K Gowtham', 'JC Archer']",45
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"['RA Tripathi', 'SV Samson', 'AM Rahane']","['AD Russell', 'SP Narine', 'M Prasidh Krishna', 'PP Chawla']",50
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"['S Dhawan', 'WP Saha']","['AD Russell', 'Shivam Mavi', 'SP Narine', 'M Prasidh Krishna']",38
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"['SP Narine', 'CA Lynn', 'N Rana']","['KK Ahmed', 'S Kaul', 'B Kumar']",67
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"['KS Williamson', 'S Dhawan', 'SP Goswami']","['SN Thakur', 'L Ngidi', 'DL Chahar']",40
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SR Watson', 'SK Raina']","['B Kumar', 'Sandeep Sharma']",34
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['PA Patel', 'V Kohli', 'MM Ali', 'AB de Villiers']","['Harbhajan Singh', 'DL Chahar']",33
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['SR Watson', 'SK Raina', 'AT Rayudu']","['NA Saini', 'MM Ali', 'YS Chahal']",16
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"['DA Warner', 'JM Bairstow']","['LH Ferguson', 'SP Narine', 'M Prasidh Krishna', 'PP Chawla']",51
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'CA Lynn', 'N Rana']","['S Kaul', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",47
Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,"['PP Shaw', 'S Dhawan', 'CA Ingram', 'SS Iyer']","['HH Pandya', 'JJ Bumrah', 'Rasikh Salam', 'MJ McClenaghan']",41
Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'KA Pollard']","['TA Boult', 'K Rabada', 'I Sharma']",46
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['BA Stokes', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",30
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,"['AM Rahane', 'JC Buttler']","['SM Curran', 'Mohammed Shami', 'Mujeeb Ur Rahman']",64
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['Harbhajan Singh', 'SN Thakur', 'DL Chahar']",41
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,"['SR Watson', 'SK Raina', 'AT Rayudu']","['I Sharma', 'AR Patel', 'K Rabada']",58
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'SP Narine', 'CA Lynn', 'N Rana']","['R Ashwin', 'CV Varun', 'GC Viljoen', 'Mohammed Shami', 'AJ Tye']",47
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"['SN Khan', 'CH Gayle', 'MA Agarwal', 'KL Rahul']","['LH Ferguson', 'AD Russell', 'M Prasidh Krishna']",41
M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['Q de Kock', 'RG Sharma']","['Mohammed Siraj', 'NA Saini', 'UT Yadav']",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['PA Patel', 'V Kohli', 'MM Ali']","['SL Malinga', 'KH Pandya', 'HH Pandya', 'JJ Bumrah', 'MJ McClenaghan']",60
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,"['SV Samson', 'AM Rahane', 'JC Buttler']","['Rashid Khan', 'S Kaul', 'B Kumar', 'Sandeep Sharma']",34
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,"['DA Warner', 'JM Bairstow']","['BA Stokes', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",68
Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Kings XI Punjab,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['GC Viljoen', 'Mohammed Shami', 'AJ Tye', 'R Ashwin']",62
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Mumbai Indians,"['CH Gayle', 'KL Rahul']","['SL Malinga', 'JJ Bumrah', 'MJ McClenaghan']",38
Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,"['NS Naik', 'RV Uthappa', 'CA Lynn']","['CH Morris', 'K Rabada', 'S Lamichhane', 'HV Patel']",34
Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['LH Ferguson', 'AD Russell', 'M Prasidh Krishna', 'PP Chawla']",45
Arun Jaitley Stadium,3,Delhi Capitals,Kolkata Knight Riders,"['SS Iyer', 'RR Pant']",['M Prasidh Krishna'],10
Arun Jaitley Stadium,4,Kolkata Knight Riders,Delhi Capitals,"['KD Karthik', 'AD Russell', 'RV Uthappa']",['K Rabada'],7
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"['DA Warner', 'JM Bairstow']","['UT Yadav', 'Mohammed Siraj', 'MM Ali', 'YS Chahal']",59
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"['AB de Villiers', 'PA Patel', 'V Kohli', 'MM Ali', 'SO Hetmyer']","['Mohammad Nabi', 'B Kumar', 'Sandeep Sharma']",30
MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"['SR Watson', 'SK Raina', 'AT Rayudu', 'KM Jadhav', 'MS Dhoni']","['DS Kulkarni', 'JC Archer', 'BA Stokes']",29
MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,"['SPD Smith', 'SV Samson', 'JC Buttler', 'RA Tripathi', 'AM Rahane']","['MJ Santner', 'SN Thakur', 'DL Chahar']",43
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Delhi Capitals,"['SM Curran', 'SN Khan', 'MA Agarwal', 'KL Rahul']","['CH Morris', 'K Rabada', 'S Lamichhane', 'Avesh Khan']",54
Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Kings XI Punjab,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['SM Curran', 'Mohammed Shami', 'GC Viljoen', 'R Ashwin']",44
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['PA Patel', 'V Kohli']","['DS Kulkarni', 'K Gowtham', 'JC Archer']",47
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"['AM Rahane', 'JC Buttler']","['Mohammed Siraj', 'NA Saini', 'UT Yadav']",51
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['MM Sharma', 'SN Thakur', 'DL Chahar']",39
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"['SR Watson', 'SK Raina', 'AT Rayudu', 'KM Jadhav', 'MS Dhoni']","['SL Malinga', 'HH Pandya', 'JP Behrendorff']",34
